         1          1         42
         1          1        397
         1          1        471
         1          1        510
         1          1        553
         1          1        629
         1          1        644
         1          1        656
         1          1        716
         1          1        772
         1          1        790
         1          1        838
         2          2         56
         2          2        293
         2          2        521
         2          2        729
         3          3        321
         3          3        459
         3          3        524
         3          3        543
         3          3        578
         3          3        592
         3          3        599
         3          3        622
         4          4         29
         4          4         39
         4          4         46
         4          4        152
         4          4        306
         4          4        336
         4          4        412
         4          4        429
         4          4        432
         4          4        543
         4          4        547
         4          4        553
         4          4        766
         4          4        794
         4          4        819
         4          4        870
         4          4        894
         4          4        902
         4          4        981
         5          5         80
         5          5        108
         5          5        304
         5          5        388
         5          5        625
         5          5        962
         5          5        964
         5          5        994
         6          6         62
         6          6        107
         6          6        129
         6          6        163
         6          6        437
         6          6        629
         6          6        705
         6          6        815
         6          6        904
         7          7        137
         7          7        188
         7          7        214
         7          7        405
         7          7        418
         7          7        420
         7          7        443
         7          7        447
         7          7        566
         7          7        813
         7          7        837
         7          7        858
         8          8         51
         8          8         63
         8          8         86
         8          8        146
         8          8        325
         8          8        374
         8          8        395
         8          8        444
         8          8        571
         8          8        628
         8          8        684
         8          8        970
         9          9         38
         9          9         60
         9          9         85
         9          9        371
         9          9        387
         9          9        456
         9          9        764
         9          9        840
        10         10          8
        10         10         50
        10         10         60
        10         10        117
        10         10        360
        10         10        557
        10         10        578
        10         10        592
        10         10        624
        10         10        753
        10         10        868
        10         10        870
        10         10        877
        10         10        954
        11         11          7
        11         11         35
        11         11         99
        11         11        102
        11         11        127
        11         11        172
        11         11        194
        11         11        221
        11         11        266
        11         11        462
        11         11        607
        12         12        106
        12         12        351
        12         12        432
        12         12        599
        13         13        124
        13         13        740
        13         13        988
        13         13        989
        13         13        990
        14         14         39
        14         14        155
        14         14        167
        14         14        169
        14         14        214
        14         14        287
        14         14        374
        14         14        497
        14         14        593
        14         14        733
        14         14        778
        14         14        806
        14         14        848
        14         14        850
        15         15         25
        15         15        106
        15         15        107
        15         15        123
        15         15        135
        15         15        167
        15         15        179
        15         15        182
        15         15        374
        15         15        414
        15         15        571
        15         15        589
        15         15        601
        15         15        612
        15         15        673
        15         15        729
        15         15        820
        15         15        847
        15         15        911
        15         15        934
        16         16          3
        16         16        105
        16         16        116
        16         16        123
        16         16        773
        16         16        806
        17         17         36
        17         17        201
        17         17        404
        17         17        416
        17         17        559
        17         17        668
        17         17        682
        17         17        719
        17         17        803
        17         17        916
        18         18         12
        18         18         47
        18         18        148
        18         18        238
        18         18        278
        18         18        368
        18         18        446
        18         18        471
        18         18        544
        18         18        584
        19         19         47
        19         19        328
        19         19        737
        19         19        772
        19         19        855
        19         19        970
        20         20         21
        20         20        255
        20         20        447
        20         20        456
        20         20        692
        20         20        803
        20         20        934
        20         20        981
        20         20        994
        21         21        150
        21         21        371
        21         21        425
        21         21        477
        21         21        773
        21         21        966
        21         21        994
        22         22          7
        22         22        245
        22         22        412
        22         22        644
        22         22        732
        22         22        733
        22         22        744
        22         22        813
        22         22        874
        22         22        903
        22         22        946
        22         22        991
        23         23         15
        23         23         29
        23         23        119
        23         23        274
        23         23        283
        23         23        472
        23         23        490
        23         23        571
        23         23        682
        23         23        776
        23         23        835
        23         23        884
        23         23        909
        24         24        182
        24         24        441
        24         24        442
        24         24        456
        24         24        473
        24         24        487
        24         24        506
        24         24        682
        24         24        756
        24         24        801
        24         24        820
        24         24        832
        24         24        845
        25         25         17
        25         25        144
        25         25        280
        25         25        335
        25         25        543
        25         25        574
        25         25        582
        25         25        625
        25         25        778
        25         25        834
        25         25        874
        25         25        923
        26         26         38
        26         26        310
        26         26        348
        26         26        416
        26         26        439
        26         26        575
        26         26        583
        26         26        595
        26         26        629
        26         26        789
        27         27         40
        27         27         42
        27         27         95
        27         27        240
        27         27        532
        27         27        561
        27         27        613
        27         27        624
        27         27        647
        27         27        648
        27         27        827
        27         27        859
        28         28         38
        28         28        127
        28         28        344
        28         28        416
        28         28        537
        28         28        540
        28         28        559
        28         28        656
        28         28        858
        28         28        931
        29         29          9
        29         29         52
        29         29        148
        29         29        173
        29         29        182
        29         29        241
        29         29        288
        29         29        425
        29         29        615
        29         29        620
        29         29        835
        29         29        950
        30         30         51
        30         30         67
        30         30         69
        30         30        300
        30         30        348
        30         30        403
        30         30        438
        30         30        605
        30         30        874
        30         30        988
        31         31         18
        31         31         36
        31         31        185
        31         31        219
        31         31        255
        31         31        429
        31         31        501
        31         31        575
        31         31        601
        31         31        709
        31         31        721
        31         31        806
